clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,2043.0,,1
4420,4,1,154,EL WALAMO,25011.0,Guasave,2053.0,,1
4434,4,1,127,ALCANFORES,25018.0,Navolato,2053.0,,1
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,2053.0,,1
4443,4,1,142,,25002.0,Angostura,2053.0,,1
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1
6247,4,1,143,ALHUEY,25002.0,Angostura,2061.0,,1
6249,4,1,145,PORTEZZA,25011.0,Guasave,2061.0,,1
6324,4,1,7,CENTRO,25010.0,El Fuerte,2061.0,,1
7150,4,1,31,STANZA SOLARE,25006.0,Culiacan,2063.0,,1
7151,4,1,127,CALDERON,25018.0,Navolato,2063.0,,1
7157,4,1,113,JARDIN,25006.0,Culiacan,2063.0,,1
7158,4,1,113,COLONIA AGRICOLA MÉXICO,25002.0,Angostura,2063.0,,1
7164,4,1,145,CENTRO,25011.0,Guasave,2063.0,,1
7171,4,1,117,LOS ANGELES,25006.0,Culiacan,2063.0,,1
7174,4,1,131,MIRAMAR,25008.0,La Cruz,2063.0,,1
7176,4,1,61,STANZA SOLARE,25018.0,Navolato,2063.0,,1
7193,4,1,26,LAS MANANITAS,25006.0,Culiacan,2063.0,,1
7199,4,1,107,COUNTRY,25006.0,Culiacan,2063.0,,1
7202,4,1,26,EJIDAL,25006.0,Culiacan,2063.0,,1
7203,4,2,117,EL WALAMO,25006.0,Culiacan,2063.0,,1
7206,4,1,112,JUAREZ,25015.0,Guamuchil,2063.0,,1
7207,4,1,112,MORELOS,25015.0,Guamuchil,2063.0,,1
7214,4,1,117,21 DE MARZO,25006.0,Culiacan,2063.0,,1
7220,4,1,84,TOLEDO,25006.0,Culiacan,2063.0,,1
7222,4,1,26,FRACC.,25006.0,Culiacan,2063.0,,1
7223,4,1,0,21 DE MARZO,25006.0,Culiacan,2063.0,,1
7224,4,1,107,SAN RAFAEL,25006.0,Culiacan,2063.0,,1
7225,4,1,66,PALMAYORCA,25013.0,Mocorito,2063.0,,1
7226,4,1,143,ANGOSTURA,25002.0,Angostura,2063.0,,1
7227,4,1,325,TAMAZULA,25011.0,Guasave,2063.0,,1
7234,4,1,99,EJIDAL,25006.0,Culiacan,2063.0,,1
7239,4,1,70,INFONAVIT BARRANCOS,25006.0,Culiacan,2063.0,,1
7241,4,1,71,EJIDAL,25018.0,Navolato,2063.0,,1
7242,4,1,71,LIBERTAD,25006.0,Culiacan,2063.0,,1
7249,4,1,121,CAMPESTRE,25006.0,Culiacan,2063.0,,1
7254,4,1,112,MORELOS,25015.0,Guamuchil,2063.0,,1
7258,4,1,112,CUAUHTEMOC,25015.0,Guamuchil,2063.0,,1
7269,4,1,46,EJIDO BATALLON,25018.0,Navolato,2063.0,,1
7286,4,1,29,CALDERON,25018.0,Navolato,2063.0,,1
7513,4,1,0,AVIACION,25006.0,Culiacan,2073.0,,1
7518,4,1,333,PANTEON,25014.0,Rosario,2073.0,,1
